0,2019,2018,2017
Revenue:,0.0,0.0,0.0
Product,66069.0,64497.0,63811.0
Service and other,59774.0,45863.0,32760.0
Total revenue,125843.0,110360.0,96571.0
Cost of revenue:,0.0,0.0,0.0
Product,16273.0,15420.0,15175.0
Service and other,26637.0,22933.0,19086.0
Total cost of revenue,42910.0,38353.0,34261.0
Gross margin,82933.0,72007.0,62310.0
Research and development,16876.0,14726.0,13037.0
Sales and marketing,18213.0,17469.0,15461.0
General and administrative,4885.0,4754.0,4481.0
Restructuring,0.0,0.0,306.0
Operating income,42959.0,35058.0,29025.0
"Other income, net",729.0,1416.0,876.0
Income before income taxes,43688.0,36474.0,29901.0
Provision for income taxes,4448.0,19903.0,4412.0
Net income,39240.0,16571.0,25489.0
Earnings per share:,0.0,0.0,0.0
Basic,5.11,2.15,3.29
Diluted,5.06,2.13,3.25
Weighted average shares outstanding:,0.0,0.0,0.0
Basic,7673.0,7700.0,7746.0
Diluted,7753.0,7794.0,7832.0
